ISBN,Title,Author,List,Weeks on List,Publisher
9780399246531,THE DAY YOU BEGIN,Jacqueline Woodson,Picture Books,22,Nancy Paulsen Books
9781368046459,THE PIGEON HAS TO GO TO SCHOOL!,Mo Willems,Picture Books,24,Hyperion Books for Children
9780062667120,I AM ENOUGH,Grace ers.,Picture Books,17,Balzer + Bray
9781423199571,WAITING IS NOT EASY!,Mo Willems,Picture Books,83,Hyperion Books for Children
9780525579649,ALL ARE WELCOME,Alexandra Penfold and Suzanne Kaufman,Picture Books,19,Knopf Books for Young Readers
9780593110508,ANTIRACIST BABY,Ibram X Kendi,Picture Books,4,Kokila
9780593121962,THE WORLD NEEDS MORE PURPLE PEOPLE,Kristen Bell and Benjamin Hart.,Picture Books,10,Random House Books for Young Readers
9780385376716,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Picture Books,246,Random House Books for Young Readers
9780803736801,DRAGONS LOVE TACOS,Adam Rubin.,Picture Books,311,Dial Books
9781368003551,WE DON'T EAT OUR CLASSMATES!,Ryan T Higgins,Picture Books,24,Disney-Hyperion
9780316707046,THE TWILIGHT SAGA,Stephenie Meyer,Series Books,227,Atom
9781338635171,THE HUNGER GAMES,Suzanne Collins,Series Books,242,Scholastic Press
9781338323214,DOG MAN,Dav Pilkey,Series Books,154,Scholastic
9780590353427,HARRY POTTER,J.K. Rowling,Series Books,594,Scholastic
9781338329483,THE BAD GUYS,Aaron Blabey,Series Books,90,Scholastic Paperbacks
9781419739033,DIARY OF A WIMPY KID,and   Jeff Kinney,Series Books,595,Harry N. Abrams
9780544336261,GIVER QUARTET,Lois Lowry,Series Books,165,HMH Books for Young Readers
9780786838653,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Series Books,543,Disney-Hyperion
9781338347210,CAPTAIN UNDERPANTS,and   Dav Pilkey,Series Books,234,Scholastic Inc.
9781338642209,BABY-SITTERS CLUB GRAPHIX,Ann M. Martin; various illustrators,Series Books,36,Scholastic Inc.
9780063048126,"LOVE, CREEKWOOD",Becky Albertalli,Young Adult Hardcover,1,Balzer + Bray
9781492678892,I'M NOT DYING WITH YOU TONIGHT,Kimberly Jones and Gilly Segal,Young Adult Hardcover,2,Sourcebooks Fire
9781250170972,CHILDREN OF BLOOD AND BONE,Tomi Adeyemi,Young Adult Hardcover,119,Henry Holt and Co. (BYR)
9781481431873,CHAIN OF GOLD,Cassandra Clare,Young Adult Hardcover,18,Margaret K. McElderry Books
9780062291639,THE BETROTHED,Kiera Cass,Young Adult Hardcover,9,HarperTeen
9780062882769,CLAP WHEN YOU LAND,Elizabeth Acevedo,Young Adult Hardcover,9,Quill Tree Books
9781250170996,CHILDREN OF VIRTUE AND VENGEANCE,Tomi Adeyemi,Young Adult Hardcover,31,Macmillan Children's Books
9780316420044,28 SUMMERS,Elin Hilderbrand,Combined Print and E-Book Fiction,2,"Little, Brown and Company"
9780525620945,THE GUARDIANS,John Grisham,Combined Print and E-Book Fiction,21,Dell
9780385545938,CAMINO WINDS,John Grisham,Combined Print and E-Book Fiction,9,Doubleday
9781538761502,WALK THE WIRE,David Baldacci,Combined Print and E-Book Fiction,9,Grand Central Publishing
9780316539555,THE SUMMER HOUSE,James Patterson and Brendan DuBois,Combined Print and E-Book Fiction,3,"Little, Brown and Company"
9781728215730,THE LAST FLIGHT,Julie Clark,Combined Print and E-Book Fiction,1,Sourcebooks Landmark
9780316539425,FAIR WARNING,Michael Connelly,Combined Print and E-Book Fiction,5,"Little, Brown and Company"
9781250209764,AMERICAN DIRT,Jeanine Cummins,Combined Print and E-Book Fiction,23,Viking / Tinder Press
9780593100837,PARTY OF TWO,Jasmine Guillory,Combined Print and E-Book Fiction,1,Berkley
9781250207104,HIDEAWAY,Nora Roberts,Combined Print and E-Book Fiction,5,St. Martin's Press
9780593188064,TOM CLANCY: FIRING POINT,Mike Maden,Combined Print and E-Book Fiction,2,G.P. Putnam's Sons
9781982148034,THE ROOM WHERE IT HAPPENED,John Bolton,Combined Print and E-Book Nonfiction,1,Simon & Schuster
9781568585987,STAMPED FROM THE BEGINNING,Ibram X Kendi,Combined Print and E-Book Nonfiction,4,Bold Type Books
9781580058827,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,Combined Print and E-Book Nonfiction,6,Scribe
9780812993547,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,Combined Print and E-Book Nonfiction,67,One World
9781728209807,ME AND WHITE SUPREMACY,Layla F Saad,Combined Print and E-Book Nonfiction,6,Cassell/Quercus/Two Roads
9781982143343,COUNTDOWN 1945,Chris Wallace with Mitch Weiss,Combined Print and E-Book Nonfiction,3,Avid Reader Press / Simon & Schuster
9781620971932,THE NEW JIM CROW,Michelle Alexander,Combined Print and E-Book Nonfiction,6,The New Press
9781982137977,IF IT BLEEDS,Stephen King,Hardcover Fiction,10,Scribner
9781728215723,THE LAST FLIGHT,Julie Clark,Hardcover Fiction,1,Sourcebooks Landmark
9780735216723,DEACON KING KONG,James McBride,Hardcover Fiction,4,Riverhead Books
9780399179624,DADDY'S GIRLS,Danielle Steel,Hardcover Fiction,3,Delacorte Press
9781501133510,BIG SUMMER,Jennifer Weiner,Hardcover Fiction,7,Atria Books
9781984879356,DEATH IN HER HANDS,Ottessa Moshfegh,Hardcover Fiction,1,Penguin Press
9781524760854,I'M STILL HERE,Austin Channing Brown,Hardcover Nonfiction,3,Convergent Books
9780525560548,HOOD FEMINISM,Mikki Kendall,Hardcover Nonfiction,2,Viking
9780735213616,BREATH,James Nestor,Hardcover Nonfiction,3,Riverhead Books
9781546085041,TRUMP AND THE AMERICAN FUTURE,Newt Gingrich,Hardcover Nonfiction,1,Center Street
9780399590504,EDUCATED,Tara Westover,Hardcover Nonfiction,123,Random House
9781630061388,BLITZ,David Horowitz,Hardcover Nonfiction,1,Humanix Books
9781250163783,UNITED STATES OF SOCIALISM,Dinesh D'Souza,Hardcover Nonfiction,4,All Points Books
9781984822185,NORMAL PEOPLE,Sally Rooney,Trade Fiction Paperback,19,Hogarth
9781538761632,A MINUTE TO MIDNIGHT,David Baldacci,Trade Fiction Paperback,3,Grand Central Publishing
9780593129982,THE GUARDIANS,John Grisham,Trade Fiction Paperback,2,Bantam
9780062678423,THE WOMAN IN THE WINDOW,A.J. Finn,Trade Fiction Paperback,62,William Morrow Paperbacks
9780593100820,PARTY OF TWO,Jasmine Guillory,Trade Fiction Paperback,1,Berkley
9780425284704,BEFORE WE WERE YOURS,Lisa Wingate,Trade Fiction Paperback,58,Ballantine Books
9780062797155,THE TATTOOIST OF AUSCHWITZ,Heather Morris,Trade Fiction Paperback,95,Zaffre/Ebury Press
9781984806734,BEACH READ,Emily Henry,Trade Fiction Paperback,5,Berkley
9780307278449,THE BLUEST EYE,Toni Morrison,Trade Fiction Paperback,8,Vintage
9781538751138,HUSH,James Patterson and Candice Fox,Trade Fiction Paperback,4,Grand Central Publishing
9780345804327,THE UNDERGROUND RAILROAD,Colson Whitehead,Trade Fiction Paperback,9,Fleet
9780465060689,WHY ARE ALL THE BLACK KIDS SITTING TOGETHER IN THE CAFETERIA?,Beverly Daniel Tatum,Paperback Nonfiction,4,Basic Books
9781632864130,WHITE RAGE,Carol Anderson,Paperback Nonfiction,5,Bloomsbury USA
9781942094470,MY GRANDMOTHER'S HANDS,Resmaa Menakem,Paperback Nonfiction,2,Central Recovery Press
9780310113607,THE COLOR OF COMPROMISE,Jemar Tis,Paperback Nonfiction,3,Zondervan Reflective
9780143036494,THE GREAT INFLUENZA,John M. Barry,Paperback Nonfiction,11,Penguin Books
9781982148201,UNORTHODOX,Deborah Feldman,Paperback Nonfiction,9,Simon & Schuster
9781501168703,THE PIONEERS,David McCullough,Paperback Nonfiction,3,Simon & Schuster
9780316017930,OUTLIERS,Malcolm Gladwell,Paperback Nonfiction,326,Penguin Book
9781501111112,GRIT,Angela Duckworth,Paperback Nonfiction,76,Scribner
9781250076229,BEING MORTAL,Atul Gawande,Paperback Nonfiction,119,Picador
9780525512196,21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,Paperback Nonfiction,8,Random House
9780593192573,RELATIONSHIP GOALS,Michael Todd,Advice How-To and Miscellaneous,4,WaterBrook
9781401958459,MEDICAL MEDIUM CLEANSE TO HEAL,Anthony William,Advice How-To and Miscellaneous,4,Hay House Inc.
9780399592096,THE RIDE OF A LIFETIME,Robert Iger,Advice How-To and Miscellaneous,6,Random House
9780062457714,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,Advice How-To and Miscellaneous,180,Harper/Thorsons/Yellow Kite/John Murray Learning
9780062820150,MAGNOLIA TABLE,Joanna Gaines with Marah Stets,Advice How-To and Miscellaneous,44,William Morrow Cookbooks
9781455570249,MAKE YOUR BED,William H. McRaven,Advice How-To and Miscellaneous,89,Grand Central Publishing/Insight Publishing Group Book
9781492669739,HOW TO CATCH A UNICORN,Adam Wallace.,Picture Books,14,Sourcebooks Wonderland
9780553537864,GRUMPY MONKEY,Suzanne Lang.,Picture Books,29,Random House Books for Young Readers
9781328852137,"GOOD NIGHT, LITTLE BLUE TRUCK",Alice Schertle and Jill McElmurry,Picture Books,19,HMH Books for Young Readers
9780062198679,PETE THE CAT: BIG EASTER ADVENTURE,James Dean and Kimberly Dean,Picture Books,23,HarperFestival
9780399255373,THE DAY THE CRAYONS QUIT,Drew Daywalt.,Picture Books,307,Philomel Books
9780525707752,THE SERIOUS GOOSE,Jimmy Kimmel,Picture Books,11,Random House Books for Young Readers
9780062954527,THE COOL BEAN,Jory John.,Picture Books,2,HarperCollins
9780593117187,THE LAST KIDS ON EARTH,Max Brallier.,Series Books,32,Viking Books For Young Readers
9781484707234,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Series Books,528,Disney-Hyperion
9781338305845,THE BAD GUYS,Aaron Blabey,Series Books,74,Scholastic Paperbacks
9780375813658,MAGIC TREE HOUSE,Mary Pope Osborne.,Series Books,296,Random House Books for Young Readers
9781534469266,TO ALL THE BOYS I'VE LOVED BEFORE,Jenny Han,Series Books,57,Simon & Schuster Books for Young Readers
9780545670319,THE HUNGER GAMES,Suzanne Collins,Series Books,228,Scholastic Press
9780525707967,ONE OF US IS NEXT,Karen M. McManus,Young Adult Hardcover,15,Delacorte Press
9781534437333,FIVE FEET APART,Rachael Lippincott with Mikki Daughtry and Tobias Iaconis,Young Adult Hardcover,72,Simon & Schuster Books for Young Readers
