ISBN,Title,Author,List,Weeks on List,Publisher
9781492671527,THE BOOK WOMAN OF TROUBLESOME CREEK,Kim Michele Richardson,Trade Fiction Paperback,6,Sourcebooks Landmark
9780316438964,THE LAST WISH,Andrzej Sapkowski,Trade Fiction Paperback,5,Gollancz
9781524796396,LOST ROSES,Martha Hall Kelly,Trade Fiction Paperback,1,Ballantine Books
9781250229533,THE GREAT ALONE,Kristin Hannah,Trade Fiction Paperback,17,Pan
9781632869616,WOMEN ROWING NORTH,Mary Pipher,Paperback Nonfiction,1,Bloomsbury Publishing
9780804190114,ON TYRANNY,Timothy Snyder,Paperback Nonfiction,65,Tim Duggan Books
9781501144325,WHY WE SLEEP,Matthew Walker,Paperback Nonfiction,46,Penguin/Grove Press UK
9780062661401,CHESAPEAKE REQUIEM,Earl Swift,Paperback Nonfiction,1,"Dey St., An Imprint Of William Morrow,"
9780143133568,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,Paperback Nonfiction,17,Penguin Books
9781250226846,LEADERSHIP STRATEGY AND TACTICS,Jocko Willink,Advice How-To and Miscellaneous,3,St. Martin's Press
9780399592522,DARE TO LEAD,Brené Brown,Advice How-To and Miscellaneous,41,Riverhead Books/Vermilion
9780762447695,YOU ARE A BADASS,Jen Sincero,Advice How-To and Miscellaneous,205,John Murray Learning/Portfolio Penguin
9781426220135,THE BLUE ZONES KITCHEN,Dan Buettner,Advice How-To and Miscellaneous,8,National Geographic
9781400201655,"GIRL, WASH YOUR FACE",Rachel Hollis,Advice How-To and Miscellaneous,84,Thomas Nelson/Harper Collins Publ. USA/John Murray Learning
9781949520071,EPOCA: THE TREE OF ECROF,Ivy Claire Created  Kobe Bryant,Childrens Middle Grade Hardcover,1,Granity Studios
9781949520033,LEGACY AND THE QUEEN,Annie Matthew Created  Kobe Bryant,Childrens Middle Grade Hardcover,1,Granity Studios
9781949520019,THE WIZENARD: TRAINING CAMP,Wesley King Created  Kobe Bryant,Childrens Middle Grade Hardcover,5,Granity Studios
9780316530415,ALI CROSS,James Patterson,Childrens Middle Grade Hardcover,10,jimmy patterson
9780316475143,LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY,Vashti Harrison with Kwesi Johnson,Childrens Middle Grade Hardcover,6,Puffin
9780545791427,HARRY POTTER,J.K. Rowling,Series Books,562,Bloomsbury Children's Books
9781534427204,DORK DIARIES,Rachel Renée Russell,Series Books,306,Aladdin
9781338216264,WINGS OF FIRE,Tui T. Sutherland,Series Books,71,Scholastic
9781338304510,BABY-SITTERS CLUB GRAPHIX,Ann M. Martin; various illustrators,Series Books,28,Graphix
9780425292112,THE LAST KIDS ON EARTH,Max Brallier.,Series Books,30,Viking Books for Young Readers
9781484746448,THE TRIALS OF APOLLO,Rick Riordan,Series Books,24,Puffin
9781534451568,FIVE FEET APART,Rachael Lippincott with Mikki Daughtry and Tobias Iaconis,Young Adult Hardcover,56,Simon & Schuster Books for Young Readers
9780316420235,DEAR EVAN HANSEN: THE NOVEL,"Val Emmich with Steven Levenson, Benj Pasek & Justin Paul",Young Adult Hardcover,40,Poppy
9781368022262,LOKI: WHERE MISCHIEF LIES,Mackenzi Lee,Young Adult Hardcover,7,Marvel Press
9780399160318,THE FOUNTAINS OF SILENCE,Ruta Sepetys,Young Adult Hardcover,13,Philomel Books
9781250146076,WAYWARD SON,Rainbow Rowell,Young Adult Hardcover,13,Wednesday Books
9780553510669,THE SECRET COMMONWEALTH,Philip Pullman,Young Adult Hardcover,12,Knopf Books for Young Readers
9780385544184,THE GUARDIANS,John Grisham,Combined Print and E-Book Fiction,10,Doubleday
9780316526883,CRISS CROSS,James Patterson,Combined Print and E-Book Fiction,4,"Little, Brown and Company"
9781982110567,THE INSTITUTE,Stephen King,Combined Print and E-Book Fiction,15,Scribner
9781538761601,A MINUTE TO MIDNIGHT,David Baldacci,Combined Print and E-Book Fiction,5,Grand Central Publishing
9780399593543,BLUE MOON,Lee Child,Combined Print and E-Book Fiction,8,Delacorte Press
9780399180194,TWISTED TWENTY-SIX,Janet Evanovich,Combined Print and E-Book Fiction,6,G.P. Putnam's Sons
9780385543781,THE TESTAMENTS,Margaret Atwood,Combined Print and E-Book Fiction,13,Nan A. Talese
9780812996548,"OLIVE, AGAIN",Elizabeth Strout,Combined Print and E-Book Fiction,8,Random House
9780399590597,THE WATER DANCER,Ta-Nehisi Coates,Combined Print and E-Book Fiction,8,One World
9781250147608,ME,Elton John,Combined Print and E-Book Nonfiction,10,Henry Holt and Co.
9780525540533,SAM HOUSTON AND THE ALAMO AVENGERS,Brian Kilmeade,Combined Print and E-Book Nonfiction,7,Sentinel
9781538718469,A WARNING,Anonymous,Combined Print and E-Book Nonfiction,5,Twelve
9780385539302,THE BODY,Bill Bryson,Combined Print and E-Book Nonfiction,10,Doubleday
9781586422387,I HEARD YOU PAINT HOUSES,Charles Brandt,Combined Print and E-Book Nonfiction,7,Steerforth
9781501197628,MOBITUARIES,Mo Rocca and Jonathan Greenberg,Combined Print and E-Book Nonfiction,2,Simon & Schuster
9781546086031,TRIGGERED,Donald Trump Jr,Combined Print and E-Book Nonfiction,7,Center Street
9780062952394,FINDING CHIKA,Mitch Albom,Combined Print and E-Book Nonfiction,7,Harper
9781501178412,THE BOOK OF GUTSY WOMEN,Hillary Rodham Clinton and Chelsea Clinton,Combined Print and E-Book Nonfiction,9,Simon & Schuster
9780525537090,HOW TO,Randall Munroe,Combined Print and E-Book Nonfiction,3,John Murray
9780525575474,BLOWOUT,Rachel Maddow,Combined Print and E-Book Nonfiction,12,Crown
9780385541213,THE STARLESS SEA,Erin Morgenstern,Hardcover Fiction,7,Doubleday
9780525541721,TOM CLANCY: CODE OF HONOR,Marc Cameron,Hardcover Fiction,2,G.P. Putnam's Sons
9781982130855,THE WAY I HEARD IT,Mike Rowe,Hardcover Nonfiction,8,Gallery Books
9780316349253,HOME WORK,Julie Andrews and Emma Walton Hamilton,Hardcover Nonfiction,5,Hachette Books
9780143110439,A GENTLEMAN IN MOSCOW,Amor Towles,Trade Fiction Paperback,35,Windmill Books/Sceptre/Fourth Estate Ltd
9781982127794,IT,Stephen King,Trade Fiction Paperback,31,Hodder Paperbacks
9781449486792,THE SUN AND HER FLOWERS,Rupi Kaur,Trade Fiction Paperback,76,Andrews McMeel Publishing
9781982131807,DOCTOR SLEEP,Stephen King,Trade Fiction Paperback,12,Gallery Books
9780062684738,UNSHELTERED,Barbara Kingsolver,Trade Fiction Paperback,6,Faber & Faber
